"permit","facility","Outfall","quant_avg","conc_avg","days_per_month","key","param","permit_outfall","permit_outfall_designator","state","kg_N_TN_per_month","month_year","EXTERNAL_PERMIT_NMBR.x","FACILITY_NAME","SIC_CODES","SIC_DESCRIPTIONS","PERM_FEATURE_NMBR.x","STATE_WATER_BODY_NAME","LATITUDE83","LONGITUDE83","impute_lat","impute_lon","EXTERNAL_PERMIT_NMBR.y","PERM_FEATURE_NMBR.y","huc8","name","impute_name"
"CT0101770","TOWN OFREDDING","1",0.4,NA,31,"CT0101770_1_2001-05-31","00600 - Nitrogen, Total (As N)","CT0101770_1","CT0101770_1_1","CT",5.62358276643991,"2001-05","CT0101770","REDDING, TOWN OF","4952","Sewerage Systems","1","NORWALK RIVER",41.76,-73.43,NA,NA,"CT0101770","1","01100005","Housatonic",NA
"CT0101761","EAST HADDAM WPCF","1",0.5,NA,30,"CT0101761_1_2001-06-30","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",6.80272108843537,"2001-06","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101770","TOWN OFREDDING","1",0.4,NA,30,"CT0101770_1_2001-06-30","00600 - Nitrogen, Total (As N)","CT0101770_1","CT0101770_1_1","CT",5.4421768707483,"2001-06","CT0101770","REDDING, TOWN OF","4952","Sewerage Systems","1","NORWALK RIVER",41.76,-73.43,NA,NA,"CT0101770","1","01100005","Housatonic",NA
"CT0101761","EAST HADDAM WPCF","1",0.4,NA,31,"CT0101761_1_2001-07-31","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",5.62358276643991,"2001-07","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101770","TOWN OFREDDING","1",0.04,NA,31,"CT0101770_1_2001-07-31","00600 - Nitrogen, Total (As N)","CT0101770_1","CT0101770_1_1","CT",0.562358276643991,"2001-07","CT0101770","REDDING, TOWN OF","4952","Sewerage Systems","1","NORWALK RIVER",41.76,-73.43,NA,NA,"CT0101770","1","01100005","Housatonic",NA
"CT0101761","EAST HADDAM WPCF","1",0.2,NA,31,"CT0101761_1_2001-08-31","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",2.81179138321995,"2001-08","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101770","TOWN OFREDDING","1",0.12,NA,31,"CT0101770_1_2001-08-31","00600 - Nitrogen, Total (As N)","CT0101770_1","CT0101770_1_1","CT",1.68707482993197,"2001-08","CT0101770","REDDING, TOWN OF","4952","Sewerage Systems","1","NORWALK RIVER",41.76,-73.43,NA,NA,"CT0101770","1","01100005","Housatonic",NA
"CT0101761","EAST HADDAM WPCF","1",0.5,NA,30,"CT0101761_1_2001-09-30","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",6.80272108843537,"2001-09","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101770","TOWN OFREDDING","1",0.01,NA,30,"CT0101770_1_2001-09-30","00600 - Nitrogen, Total (As N)","CT0101770_1","CT0101770_1_1","CT",0.136054421768707,"2001-09","CT0101770","REDDING, TOWN OF","4952","Sewerage Systems","1","NORWALK RIVER",41.76,-73.43,NA,NA,"CT0101770","1","01100005","Housatonic",NA
"CT0101761","EAST HADDAM WPCF","1",0.6,NA,31,"CT0101761_1_2001-10-31","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",8.43537414965986,"2001-10","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101770","TOWN OFREDDING","1",0.51,NA,31,"CT0101770_1_2001-10-31","00600 - Nitrogen, Total (As N)","CT0101770_1","CT0101770_1_1","CT",7.17006802721088,"2001-10","CT0101770","REDDING, TOWN OF","4952","Sewerage Systems","1","NORWALK RIVER",41.76,-73.43,NA,NA,"CT0101770","1","01100005","Housatonic",NA
"CT0101761","EAST HADDAM WPCF","1",0.3,NA,30,"CT0101761_1_2001-11-30","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",4.08163265306122,"2001-11","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
